Width (m),Discharge (m3/s),D50 (m),Depth (m),
1.40,0.0777,0.00045,0.15,
1.40,0.0727,0.00045,0.02,
2.41,0.13,0.00045,0.15,
2.41,0.13,0.00045,0.15,
0.35,0.00210,0.00045,0.08,
2.41,0.10,0.00045,0.08,
2.41,0.11,0.00045,0.08,
0.81,0.0179,0.00045,0.13,
0.81,0.0191,0.00045,0.13,
0.81,0.0181,0.00045,0.13,
1.52,0.0508,0.00045,0.14,
1.52,0.0432,0.00045,0.14,
1.52,0.0488,0.00045,0.02,
1.52,0.0445,0.00045,0.14,
0.69,0.0097,0.00045,0.14,
0.35,0.00210,0.00045,0.06,
0.69,0.0119,0.00045,0.06,
0.69,0.0104,0.00045,0.06,
0.69,0.0094,0.00045,0.10,
0.69,0.0100,0.00045,0.10,
1.78,0.0824,0.00045,0.10,
1.78,0.0813,0.00045,0.10,
1.78,0.0813,0.00045,0.03,
0.89,0.0267,0.00045,0.02,
0.89,0.0225,0.00045,0.03,
0.89,0.0255,0.00045,0.03,
0.35,0.00174,0.00045,0.03,
0.84,0.0280,0.00045,0.03,
0.84,0.0332,0.00045,0.08,
0.84,0.0326,0.00045,0.08,
0.84,0.0300,0.00045,0.08,
0.51,0.0060,0.00045,0.06,
0.51,0.0077,0.00045,0.06,
0.51,0.0072,0.00045,0.06,
1.19,0.0481,0.00045,0.02,
1.19,0.0599,0.00045,0.09,
1.19,0.0509,0.00045,0.09,
0.35,0.00195,0.00045,0.09,
1.19,0.0509,0.00045,0.09,
1.42,0.0464,0.00045,0.04,
1.42,0.0440,0.00045,0.04,
1.42,0.0436,0.00045,0.04,
1.65,0.0528,0.00045,0.09,
1.65,0.0528,0.00045,0.09,
1.65,0.0498,0.00045,0.09,
1.32,0.0501,0.00045,0.02,
1.32,0.0513,0.00045,0.09,
1.32,0.0561,0.00045,0.10,
0.35,0.00192,0.00045,0.10,
0.56,0.0080,0.00045,0.10,
0.56,0.0081,0.00045,0.08,
0.56,0.0083,0.00045,0.08,
0.56,0.00275,0.00045,0.08,
0.56,0.00293,0.00045,0.10,
0.56,0.00315,0.00045,0.10,
0.56,0.00219,0.00045,0.10,
0.30,0.00228,0.00045,0.02,
0.30,0.00206,0.00045,0.05,
0.30,0.00194,0.00045,0.05,
0.35,0.00168,0.00045,0.05,
0.30,0.00228,0.00045,0.02,
0.46,0.0060,0.00045,0.02,
0.46,0.0061,0.00045,0.02,
0.46,0.0073,0.00045,0.02,
0.46,0.0070,0.00045,0.02,
0.46,0.0075,0.00045,0.02,
0.46,0.00442,0.00045,0.02,
0.46,0.00367,0.00045,0.02,
0.46,0.00459,0.00045,0.02,
0.46,0.00465,0.00045,0.04,
0.35,0.00140,0.00045,0.04,
0.41,0.0050,0.00045,0.04,
0.41,0.0050,0.00045,0.04,
0.41,0.00492,0.00045,0.04,
0.64,0.0128,0.00045,0.04,
0.64,0.0112,0.00045,0.04,
0.64,0.0128,0.00045,0.04,
0.64,0.0125,0.00045,0.04,
0.64,0.0117,0.00045,0.02,
1.27,0.0283,0.00045,0.03,
1.27,0.0300,0.00045,0.03,
1.20,0.0107,0.00045,0.03,
0.35,0.00168,0.00045,0.06,
1.27,0.0255,0.00045,0.06,
1.27,0.0309,0.00045,0.06,
2.92,0.29,0.00045,0.06,
2.92,0.29,0.00045,0.06,
2.92,0.27,0.00045,0.08,
2.92,0.30,0.00045,0.08,
0.94,0.0219,0.00045,0.04,
0.94,0.0208,0.00045,0.02,
0.94,0.0203,0.00045,0.08,
0.94,0.0174,0.00045,0.08,
0.35,0.00168,0.00045,0.20,
0.94,0.0203,0.00045,0.20,
0.36,0.00287,0.00045,0.20,
0.36,0.00328,0.00045,0.20,
0.36,0.00340,0.00045,0.05,
0.36,0.00291,0.00045,0.05,
0.64,0.0068,0.00045,0.05,
0.64,0.0079,0.00045,0.05,
0.64,0.0062,0.00045,0.02,
0.64,0.0072,0.00045,0.05,
0.64,0.0067,0.00045,0.03,
0.55,0.00440,0.00045,0.03,
0.18,0.00118,0.00045,0.03,
0.18,0.00235,0.00045,0.03,
0.18,0.00131,0.00045,0.04,
0.18,0.00112,0.00045,0.04,
0.18,0.00107,0.00045,0.04,
0.41,0.0072,0.00045,0.04,
0.41,0.0074,0.00045,0.04,
0.41,0.0074,0.00045,0.04,
0.64,0.00500,0.00045,0.01,
0.64,0.00492,0.00045,0.01,
0.55,0.00489,0.00045,0.01,
0.64,0.00434,0.00045,0.01,
0.64,0.00492,0.00045,0.01,
0.79,0.0146,0.00045,0.04,
0.79,0.0168,0.00045,0.04,
0.79,0.0155,0.00045,0.04,
0.56,0.0093,0.00045,0.03,
0.56,0.0079,0.00045,0.03,
0.56,0.0105,0.00045,0.04,
0.56,0.0102,0.00045,0.03,
0.56,0.0110,0.00045,0.03,
0.55,0.00440,0.00045,0.05,
0.56,0.0113,0.00045,0.05,
0.51,0.0068,0.00045,0.05,
